seed,variant,loss,ppl,delta_vs_s1,delta_vs_s3,tokens,sequences
42,s1,2.755773,15.733204,+0.000000,+0.014371,199411665,588235
42,center_dynamic,2.771955,15.989866,+0.016182,+0.030553,199411665,588235
42,s3,2.741402,15.508713,-0.014371,+0.000000,199411665,588235
42,s12,2.745604,15.574012,-0.010169,+0.004202,199411665,588235
123,s1,2.762714,15.842776,+0.000000,+0.004183,199411665,588235
123,center_dynamic,2.799285,16.432893,+0.036571,+0.040754,199411665,588235
123,s3,2.758531,15.776650,-0.004183,+0.000000,199411665,588235
123,s12,2.751806,15.670906,-0.010908,-0.006725,199411665,588235
2026,s1,2.757664,15.762976,+0.000000,+0.006526,199411665,588235
2026,center_dynamic,2.799276,16.432739,+0.041612,+0.048138,199411665,588235
2026,s3,2.751138,15.660438,-0.006526,+0.000000,199411665,588235
2026,s12,2.744375,15.554891,-0.013289,-0.006763,199411665,588235
